idKldi|kldi
D290|Kab. Maluku Barat Daya
D291|Provinsi Maluku Utara
D292|Kab. Halmahera Utara
D293|Kota Ternate
D294|Kab. Halmahera Tengah
D295|Kab. Halmahera Selatan
D296|Kab. Halmahera Barat
D297|Kab. Halmahera Timur
D298|Kab. Kepulauan Sula
D3|Kota Lhokseumawe
D30|Kab. Buleleng
D300|Kota Tidore Kepulauan
D301|Provinsi Nusa Tenggara Barat
D302|Kab. Sumbawa Barat
D303|Kab. Sumbawa
D304|Kab. Lombok Tengah
D305|Kab. Lombok Timur
D307|Kab. Lombok Barat
D308|Kab. Lombok Utara
D309|Kota Mataram
D31|Kab. Gianyar
D310|Kota Bima
D311|Kab. Bima
D312|Provinsi Nusa Tenggara Timur
D313|Kab. Ende
D314|Kab. Sumba Barat
D315|Kab. Sumba Barat Daya
D316|Kab. Belu
D317|Kota Kupang
D318|Kab. Timor Tengah Utara
D319|Kab. Manggarai
D32|Kab. Klungkung
D320|Kab. Alor
D321|Kab. Manggarai Barat
D322|Kab. Kupang
D323|Kab. Rote Ndao
D324|Kab. Timor Tengah Selatan
D325|Kab. Ngada
D326|Kab. Nagekeo
D327|Kab. Manggarai Timur
D328|Kab. Sikka
D329|Kab. Sumba Tengah
D33|Kab. Tabanan
D330|Kab. Sumba Timur
D331|Kab. Flores Timur
D332|Kab. Lembata
D333|Kab. Sabu Raijua
D334|Provinsi Papua
D335|Kab. Merauke
D336|Kab. Asmat
D337|Kab. Jayapura
D338|Kab. Keerom
D339|Kab. Mappi
D34|Kab. Karangasem
D340|Kab. Mimika
D341|Kab. Nabire
D342|Kab. Puncak Jaya
D343|Kota Jayapura
D344|Kab. Biak Numfor
D345|Kab. Boven Digoel
D346|Kab. Dogiyai
D347|Kab. Jayawijaya
D348|Kab. Kepulauan Yapen
D349|Kab. Lanny Jaya
D35|Provinsi Bangka Belitung
D350|Kab. Mamberamo Raya
D351|Kab. Mamberamo Tengah
D353|Kab. Paniai
D354|Kab. Pegunungan Bintang
D355|Kab. Puncak
D356|Kab. Sarmi
D357|Kab. Supiori
D358|Kab. Tolikara
D359|Kab. Waropen
D36|Kab. Bangka
D360|Kab. Yahukimo
D361|Kab. Yalimo
D362|Kab. Deiyai
D363|Kab. Intan Jaya
D364|Provinsi Papua Barat
D365|Kab. Manokwari
D366|Kota Sorong
D367|Kab. Fak Fak
D368|Kab. Kaimana
D369|Kab. Raja Ampat
D37|Kab. Bangka Tengah
D370|Kab. Sorong
D371|Kab. Sorong Selatan
D372|Kab. Teluk Bintuni
D373|Kab. Tambrauw
D374|Kab. Maybrat
D375|Kab. Teluk Wondama
D376|Provinsi Riau
D377|Kota Pekanbaru
D378|Kab. Kuantan Singingi
D379|Kab. Indragiri Hilir
D38|Kota Pangkal Pinang
D380|Kab. Kampar
D381|Kab. Bengkalis
D382|Kab. Pelalawan
D383|Kab. Rokan Hulu
D384|Kab. Siak
D385|Kota Dumai
D386|Kab. Kepulauan Meranti
D387|Kab. Rokan Hilir
D388|Kab. Indragiri Hulu
D389|Provinsi Sulawesi Barat
D39|Kab. Bangka Selatan
D390|Kab. Mamuju
D391|Kab. Polewali Mandar
D392|Kab. Majene
D393|Kab. Pasangkayu
D394|Kab. Mamasa
D395|Provinsi Sulawesi Selatan
D396|Kab. Luwu Utara
D397|Kab. Maros
D398|Kota Makassar
D399|Kab. Enrekang
D4|Kab. Aceh Utara
D40|Kab. Belitung
D400|Kab. Pinrang
D401|Kab. Sinjai
D402|Kota Palopo
D403|Kota Pare Pare
D404|Kab. Bantaeng
D405|Kab. Pangkajene Kepulauan
D406|Kab. Sidenreng Rappang
D407|Kab. Luwu
D408|Kab. Luwu Timur
D409|Kab. Gowa
D41|Kab. Belitung Timur
D410|Kab. Bone
D411|Kab. Bulukumba
D412|Kab. Kepulauan Selayar
D413|Kab. Takalar
D414|Kab. Soppeng
D415|Kab. Wajo
D416|Kab. Toraja Utara
D417|Kab. Barru
D418|Kab. Jeneponto
D419|Kab. Tana Toraja
D42|Kab. Bangka Barat
D421|Provinsi Sulawesi Tengah
D422|Kab. Donggala
D423|Kab. Parigi Moutong
D424|Kab. Tojo Una Una
D425|Kota Palu
D426|Kab. Morowali
D427|Kab. Banggai
D428|Kab. Poso
D429|Kab. Buol
D43|Provinsi Banten
D430|Kab. Toli Toli
D431|Kab. Sigi
D432|Kab. Banggai Kepulauan
D433|Provinsi Sulawesi Tenggara
D434|Kota Kendari
D435|Kab. Buton
D436|Kota Bau Bau
D437|Kab. Buton Utara
D438|Kab. Konawe Selatan
D439|Kab. Konawe Utara
D44|Kota Tangerang
D440|Kab. Wakatobi
D441|Kab. Bombana
D442|Kab. Kolaka Utara
D443|Kab. Muna
D444|Kab. Kolaka
D445|Kab. Konawe
D446|Provinsi Sulawesi Utara
D447|Kab. Kep. Siau Tagulandang Biaro
D448|Kab. Minahasa Utara
D449|Kota Kotamobagu
D45|Kab. Lebak
D450|Kota Tomohon
D451|Kab. Minahasa Tenggara
D453|Kab. Bolaang Mongondow
D454|Kab. Bolaang Mongondow Timur
D455|Kab. Bolaang Mongondow Utara
D456|Kota Manado
D457|Kab. Kepulauan Talaud
D458|Kab. Kepulauan Sangihe
D459|Kab. Minahasa Selatan
D46|Kota Serang
D460|Kota Bitung
D461|Kab. Minahasa
D462|Provinsi Sumatera Barat
D463|Kab. Sijunjung
D464|Kab. Pesisir Selatan
D465|Kab. Tanah Datar
D466|Kab. Dharmasraya
D467|Kab. Pasaman
D468|Kota Sawahlunto
D469|Kota Padang Panjang
D47|Kota Tangerang Selatan
D470|Kota Payakumbuh
D471|Kota Padang
D472|Kab. Agam
D473|Kab. Padang Pariaman
D474|Kota Solok
D475|Kab. Solok
D476|Kab. Lima Puluh Kota
D477|Kab. Pasaman Barat
D478|Kab. Solok Selatan
D479|Kota Bukittinggi
D48|Kab. Serang
D480|Kota Pariaman
D481|Kab. Kepulauan Mentawai
D482|Provinsi Sumatera Selatan
D483|Kab. Banyuasin
D484|Kota Pagar Alam
D485|Kab. Muara Enim
D486|Kota Palembang
D487|Kota Prabumulih
D488|Kab. Musi Banyuasin
D489|Kab. Ogan Komering Ilir
D49|Kota Cilegon
D490|Kota Lubuk Linggau
D491|Kab. Empat Lawang
D492|Kab. Musi Rawas
D493|Kab. Ogan Komering Ulu Selatan
D494|Kab. Ogan Komering Ulu Timur
D495|Kab. Ogan Komering Ulu
D496|Kab. Ogan Ilir
D497|Kab. Lahat
D498|Provinsi Sumatera Utara
D499|Kab. Labuhanbatu
